Segment,Distance,OSM_Feature,Initial_recorded_Latitude,Initial_recorded_Longitude,Final_recorded_Latitude,Final_recorded_Longitude,TimeStamp_Begin,TimeStamp_End,TimeStart,TimeFinish,Charge_at_Begining,Charge_at_Final,TimeNeeded_in_Seconds,Primary,Primary_link,Secondary,Secondary_link,Tertiary,Tertiary_link,Trunk,Motorway,Motorway_link,Service,Residential,Track,Unknown,Unclassified,Charge_Consumed,Geometry
21,490.9417452343025,19500872,35.05310440063477,-85.30418395996094,35.05353546142578,-85.30953979492188,1572598746000.0,1572598825000.0,2019-11-01 03:59:06:000,2019-11-01 04:00:25:000,95.97968822016459,95.80207062757202,79,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.17761759259256849,"LINESTRING (-85.3096565 35.0535113, -85.3095412 35.0535153, -85.3086898 35.0535444, -85.3086127 35.053547, -85.3085552 35.0535483, -85.30828889999999 35.0535544, -85.30812400000001 35.0535581, -85.3079506 35.0535621, -85.30766490000001 35.0535686, -85.3075681 35.0535708, -85.30749830000001 35.0535715, -85.3073832 35.0535727, -85.3072032 35.0535748, -85.30703699999999 35.0535767, -85.3068796 35.0535784, -85.3067195 35.0535802, -85.3066121 35.0535814, -85.3065351 35.0535822, -85.30645560000001 35.0535833, -85.3060792 35.0535886, -85.3057706 35.0535773, -85.30557930000001 35.0535436, -85.3054812 35.0535263, -85.3054004 35.0535008, -85.3043423 35.0531673)"
23,0.0,19505400,35.05353546142578,-85.30953979492188,35.05353546142578,-85.30953979492188,1572598826000.0,1572598855000.0,2019-11-01 04:00:26:000,2019-11-01 04:00:55:000,95.80065618312756,95.75837199588476,29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.04228418724279948,"LINESTRING (-85.3096565 35.0535113, -85.30979120000001 35.0535084, -85.31053129999999 35.0534922, -85.310619 35.0534903, -85.3107933 35.0534865, -85.3108908 35.0534849, -85.3117285 35.0534715, -85.31182990000001 35.0534699)"
25,0.0,51067095,35.05353546142578,-85.30953979492188,35.05353546142578,-85.30953979492188,1572598856000.0,1572598858000.0,2019-11-01 04:00:56:000,2019-11-01 04:00:58:000,95.75627671810699,95.75279338477371,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0034833333332784373,"LINESTRING (-85.30974519999999 35.0561878, -85.3097313 35.0557695, -85.3097291 35.0557012, -85.30969880000001 35.0547866, -85.3096803 35.0542291, -85.3096565 35.0535113, -85.309619 35.0523781, -85.3096149 35.0522543, -85.309594 35.0516253, -85.30959060000001 35.051523, -85.30958649999999 35.0513991, -85.3095713 35.050938, -85.30955539999999 35.0504603, -85.3095538 35.0504121, -85.3095299 35.0496882, -85.30948650000001 35.0483811, -85.309444 35.0470969)"
27,0.0,19500872,35.05353546142578,-85.30953979492188,35.05353546142578,-85.30953979492188,1572598859000.0,1572598860000.0,2019-11-01 04:00:59:000,2019-11-01 04:01:00:000,95.75163227366257,95.74950005144034,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0021322222222295295,"LINESTRING (-85.3096565 35.0535113, -85.3095412 35.0535153, -85.3086898 35.0535444, -85.3086127 35.053547, -85.3085552 35.0535483, -85.30828889999999 35.0535544, -85.30812400000001 35.0535581, -85.3079506 35.0535621, -85.30766490000001 35.0535686, -85.3075681 35.0535708, -85.30749830000001 35.0535715, -85.3073832 35.0535727, -85.3072032 35.0535748, -85.30703699999999 35.0535767, -85.3068796 35.0535784, -85.3067195 35.0535802, -85.3066121 35.0535814, -85.3065351 35.0535822, -85.30645560000001 35.0535833, -85.3060792 35.0535886, -85.3057706 35.0535773, -85.30557930000001 35.0535436, -85.3054812 35.0535263, -85.3054004 35.0535008, -85.3043423 35.0531673)"
29,116.35004625651432,51067095,35.05352935791016,-85.30956115722657,35.05249786376953,-85.3097915649414,1572598861000.0,1572598939000.0,2019-11-01 04:01:01:000,2019-11-01 04:02:19:000,95.748201718107,95.57718645061728,78,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.17101526748972162,"LINESTRING (-85.30974519999999 35.0561878, -85.3097313 35.0557695, -85.3097291 35.0557012, -85.30969880000001 35.0547866, -85.3096803 35.0542291, -85.3096565 35.0535113, -85.309619 35.0523781, -85.3096149 35.0522543, -85.309594 35.0516253, -85.30959060000001 35.051523, -85.30958649999999 35.0513991, -85.3095713 35.050938, -85.30955539999999 35.0504603, -85.3095538 35.0504121, -85.3095299 35.0496882, -85.30948650000001 35.0483811, -85.309444 35.0470969)"
31,9.097615779471367,51066113,35.05249786376953,-85.3097915649414,35.052433013916016,-85.30985260009766,1572598940000.0,1572598947000.0,2019-11-01 04:02:20:000,2019-11-01 04:02:27:000,95.57610768518518,95.52281914609054,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0532885390946376,"LINESTRING (-85.309619 35.0523781, -85.3097648 35.052375, -85.31050279999999 35.0523588, -85.3105821 35.0523571, -85.31075629999999 35.0523533, -85.3108687 35.0523509, -85.3116857 35.0523331, -85.3117944 35.0523307)"
33,0.0,183526669,35.05238723754883,-85.30984497070312,35.05238723754883,-85.30984497070312,1572598948000.0,1572598948000.0,2019-11-01 04:02:28:000,2019-11-01 04:02:28:000,95.51610055555555,95.51610055555555,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,"LINESTRING (-85.3117889 35.0522231, -85.3116899 35.0522237, -85.3108625 35.0522288, -85.3107523 35.0522295, -85.3105781 35.0522333, -85.31050070000001 35.052235, -85.3097649 35.0522511, -85.3096149 35.0522543)"
35,7.2281321425989375,51066113,35.05233383178711,-85.30984497070312,35.052268981933594,-85.3098373413086,1572598949000.0,1572598950000.0,2019-11-01 04:02:29:000,2019-11-01 04:02:30:000,95.50804138888887,95.5016108127572,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.006430576131663202,"LINESTRING (-85.309619 35.0523781, -85.3097648 35.052375, -85.31050279999999 35.0523588, -85.3105821 35.0523571, -85.31075629999999 35.0523533, -85.3108687 35.0523509, -85.3116857 35.0523331, -85.3117944 35.0523307)"
37,16.563725736564383,183526669,35.05220413208008,-85.3098373413086,35.05205535888672,-85.30982208251953,1572598951000.0,1572598953000.0,2019-11-01 04:02:31:000,2019-11-01 04:02:33:000,95.4919387654321,95.47935666666666,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.012582098765435036,"LINESTRING (-85.3117889 35.0522231, -85.3116899 35.0522237, -85.3108625 35.0522288, -85.3107523 35.0522295, -85.3105781 35.0522333, -85.31050070000001 35.052235, -85.3097649 35.0522511, -85.3096149 35.0522543)"
39,491.5965310099565,51067095,35.051559448242195,-85.3097915649414,35.047134399414055,-85.30950927734375,1572598959000.0,1572599008000.0,2019-11-01 04:02:39:000,2019-11-01 04:03:28:000,95.45350494855968,95.28601851851852,49,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1674864300411656,"LINESTRING (-85.30974519999999 35.0561878, -85.3097313 35.0557695, -85.3097291 35.0557012, -85.30969880000001 35.0547866, -85.3096803 35.0542291, -85.3096565 35.0535113, -85.309619 35.0523781, -85.3096149 35.0522543, -85.309594 35.0516253, -85.30959060000001 35.051523, -85.30958649999999 35.0513991, -85.3095713 35.050938, -85.30955539999999 35.0504603, -85.3095538 35.0504121, -85.3095299 35.0496882, -85.30948650000001 35.0483811, -85.309444 35.0470969)"
