Sample,OSM_Feature,Distance,Initial_recorded_Latitude,Initial_recorded_Longitude,Final_recorded_Latitude,Final_recorded_Longitude,TimeStamp_Begin,TimeStamp_End,TimeStart,TimeFinish,Energy_at_Begining,Energy_at_Final,TimeNeeded_in_Seconds,Primary,Primary_link,Secondary,Secondary_link,Tertiary,Tertiary_link,Trunk,Motorway,Motorway_link,Service,Residential,Track,Unknown,Unclassified,Energy_Consumed
16,51067068,5.376188630559313,35.0518798828125,-85.2991714477539,35.05184936523437,-85.2992172241211,1572598692000.0,1572598693000.0,2019-11-01 03:58:12:000,2019-11-01 03:58:13:000,96.59882777777777,96.58892160493828,1,0.0,0.5,0.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.009906172839492909
17,51067068,53.17441192676714,35.05184936523437,-85.2992172241211,35.05143356323242,-85.29950714111328,1572598693000.0,1572598703000.0,2019-11-01 03:58:13:000,2019-11-01 03:58:23:000,96.58892160493828,96.54480836419754,10,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0441132407407423
18,393463231,4.073000741765739,35.05143356323242,-85.29950714111328,35.05141448974609,-85.29954528808594,1572598703000.0,1572598704000.0,2019-11-01 03:58:23:000,2019-11-01 03:58:24:000,96.54480836419754,96.53179478395063,1,0.0,0.0,0.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.013013580246905576
19,393463231,450.25634410317167,35.05141448974609,-85.29954528808594,35.05305862426758,-85.3040542602539,1572598704000.0,1572598745000.0,2019-11-01 03:58:24:000,2019-11-01 03:59:05:000,96.53179478395063,95.98086122427985,41,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.5509335596707814
20,19500872,12.87621086460891,35.05305862426758,-85.3040542602539,35.05310440063477,-85.30418395996094,1572598745000.0,1572598746000.0,2019-11-01 03:59:05:000,2019-11-01 03:59:06:000,95.98086122427985,95.97968822016459,1,0.0,0.0,0.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.001173004115258891
21,19500872,498.2169514931414,35.05310440063477,-85.30418395996094,35.05353546142578,-85.30953979492188,1572598746000.0,1572598825000.0,2019-11-01 03:59:06:000,2019-11-01 04:00:25:000,95.97968822016459,95.80207062757202,79,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.17761759259256849
22,51067095,2.063139538985334,35.05353546142578,-85.30953979492188,35.05352935791016,-85.30956115722657,1572598825000.0,1572598861000.0,2019-11-01 04:00:25:000,2019-11-01 04:01:01:000,95.80207062757202,95.748201718107,36,0.0,0.0,0.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.05386890946502376
29,51067095,122.03109627244854,35.05352935791016,-85.30956115722657,35.05249786376953,-85.3097915649414,1572598861000.0,1572598939000.0,2019-11-01 04:01:01:000,2019-11-01 04:02:19:000,95.748201718107,95.57718645061728,78,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.17101526748972162
30,51066113,0.0,35.05249786376953,-85.3097915649414,35.05249786376953,-85.3097915649414,1572598939000.0,1572598940000.0,2019-11-01 04:02:19:000,2019-11-01 04:02:20:000,95.57718645061728,95.57610768518518,1,0.0,0.0,0.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.001078765432097839
31,51066113,9.097615779471367,35.05249786376953,-85.3097915649414,35.052433013916016,-85.30985260009766,1572598940000.0,1572598947000.0,2019-11-01 04:02:20:000,2019-11-01 04:02:27:000,95.57610768518518,95.52281914609054,7,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0532885390946376
32,51066113,11.025409475869813,35.052433013916016,-85.30985260009766,35.05233383178711,-85.30984497070312,1572598947000.0,1572598949000.0,2019-11-01 04:02:27:000,2019-11-01 04:02:29:000,95.52281914609054,95.50804138888887,2,0.0,0.0,0.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.014777757201670738
35,51066113,7.2281321425989375,35.05233383178711,-85.30984497070312,35.052268981933594,-85.3098373413086,1572598949000.0,1572598950000.0,2019-11-01 04:02:29:000,2019-11-01 04:02:30:000,95.50804138888887,95.5016108127572,1,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.006430576131663202
36,183526669,7.194542055588932,35.052268981933594,-85.3098373413086,35.05220413208008,-85.3098373413086,1572598950000.0,1572598951000.0,2019-11-01 04:02:30:000,2019-11-01 04:02:31:000,95.5016108127572,95.4919387654321,1,0.0,0.0,0.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.009672047325111066
37,183526669,16.563725736564386,35.05220413208008,-85.3098373413086,35.05205535888672,-85.30982208251953,1572598951000.0,1572598953000.0,2019-11-01 04:02:31:000,2019-11-01 04:02:33:000,95.4919387654321,95.47935666666666,2,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.012582098765435036
38,51067095,55.08748292102355,35.05205535888672,-85.30982208251953,35.051559448242195,-85.3097915649414,1572598953000.0,1572598959000.0,2019-11-01 04:02:33:000,2019-11-01 04:02:39:000,95.47935666666666,95.45350494855968,6,0.0,0.0,0.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.025851718106977728
39,51067095,505.7976373335636,35.051559448242195,-85.3097915649414,35.047134399414055,-85.30950927734375,1572598959000.0,1572599008000.0,2019-11-01 04:02:39:000,2019-11-01 04:03:28:000,95.45350494855968,95.28601851851852,49,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.1674864300411656
40,196862691,10.180815490237775,35.047134399414055,-85.30950927734375,35.047042846679695,-85.30950164794922,1572599008000.0,1572599009000.0,2019-11-01 04:03:28:000,2019-11-01 04:03:29:000,95.28601851851852,95.2817601851852,1,0.0,0.0,0.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.004258333333311271
41,196862691,139.09896758785695,35.047042846679695,-85.30950164794922,35.04580307006836,-85.30947875976562,1572599009000.0,1572599023000.0,2019-11-01 04:03:29:000,2019-11-01 04:03:43:000,95.2817601851852,95.24153083333331,14,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.040229351851891686
42,111563738,7.228129755107497,35.04580307006836,-85.30947875976562,35.045738220214844,-85.30948638916016,1572599023000.0,1572599024000.0,2019-11-01 04:03:43:000,2019-11-01 04:03:44:000,95.24153083333331,95.23937222222222,1,0.0,0.0,0.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0021586111110991624
43,111563738,199.8632092537192,35.045738220214844,-85.30948638916016,35.043960571289055,-85.30937194824219,1572599024000.0,1572599070000.0,2019-11-01 04:03:44:000,2019-11-01 04:04:30:000,95.23937222222222,95.06140716049386,46,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.1779650617283579
44,19498489,6.510194251035237,35.043960571289055,-85.30937194824219,35.04391098022461,-85.30933380126953,1572599070000.0,1572599071000.0,2019-11-01 04:04:30:000,2019-11-01 04:04:31:000,95.06140716049386,95.05408112139921,1,0.0,0.0,0.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.5,0,0,0.0,0.007326039094650127
